sentence_index,phone,phone_id,viseme_key,start_sec,end_sec,duration_sec,duration_frames
0,d,40,S,0.0,0.05,0.05,4
0,a4,5,AH,0.05,0.1375,0.0875,7
0,j,151,S,0.1375,0.2125,0.075,6
0,ia1,77,AO,0.2125,0.325,0.1125,9
0,h,71,KG,0.325,0.4875,0.1625,13
0,ao3,29,AO,0.4875,0.75,0.2625,21
0,sp,179,REST,0.75,0.8,0.05,4
1,uo3,232,OH,0.8,0.9375,0.1375,11
1,sh,177,S,0.9375,1.0375,0.1,8
1,iii4,116,AH,1.0375,1.1,0.0625,5
1,x,260,S,1.1,1.2,0.1,8
1,iao3,98,AH,1.2,1.325,0.125,10
1,uai1,193,AH,1.325,1.625,0.3,24
1,sp,179,REST,1.625,1.6625,0.0375,3
2,uo3,232,OH,1.6625,1.8,0.1375,11
2,sh,177,S,1.8,1.9125,0.1125,9
2,iii4,116,AH,1.9125,2.025,0.1125,9
2,i4,75,EE,2.025,2.1,0.075,6
2,k,152,KG,2.1,2.225,0.125,10
2,uan3,201,AH,2.225,2.35,0.125,10
2,h,71,KG,2.35,2.45,0.1,8
2,uei4,214,OU,2.45,2.575,0.125,10
2,zh,262,S,2.575,2.6875,0.1125,9
2,u4,186,OO,2.6875,2.7625,0.075,6
2,sh,177,S,2.7625,2.85,0.0875,7
2,iii4,116,AH,2.85,2.9375,0.0875,7
2,zh,262,S,2.9375,3.0375,0.1,8
2,u3,185,OO,3.0375,3.125,0.0875,7
2,r,175,R,3.125,3.2125,0.0875,7
2,en2,52,N,3.2125,3.4125,0.2,16
2,sp,179,REST,3.4125,3.5,0.0875,7
3,h,71,KG,3.5,3.625,0.125,10
3,uei4,214,OU,3.625,3.7125,0.0875,7
3,sh,177,S,3.7125,3.825,0.1125,9
3,uo1,230,OH,3.825,3.9125,0.0875,7
3,h,71,KG,3.9125,4.0125,0.1,8
3,ua4,191,AH,4.0125,4.175,0.1625,13
3,h,71,KG,4.175,4.3125,0.1375,11
3,e2,42,EH,4.3125,4.4375,0.125,10
3,b,37,BMP,4.4375,4.525,0.0875,7
3,i3,74,EE,4.525,4.6625,0.1375,11
3,a5,6,AH,4.6625,4.8125,0.15,12
3,j,151,S,4.8125,4.9,0.0875,7
3,i2,73,EE,4.9,5.0125,0.1125,9
3,z,261,S,5.0125,5.1125,0.1,8
3,uei3,213,OU,5.1125,5.2125,0.1,8
3,d,40,S,5.2125,5.275,0.0625,5
3,e5,45,EH,5.275,5.3125,0.0375,3
3,k,152,KG,5.3125,5.425,0.1125,9
3,ai1,7,EH,5.425,5.55,0.125,10
3,van2,245,REST,5.55,5.6875,0.1375,11
3,zh,262,S,5.6875,5.8,0.1125,9
3,uo1,230,OH,5.8,5.875,0.075,6
3,m,154,BMP,5.875,5.975,0.1,8
3,ian4,85,AH,5.975,6.0875,0.1125,9
3,j,151,S,6.0875,6.2,0.1125,9
3,i1,72,EE,6.2,6.275,0.075,6
3,q,174,S,6.275,6.3875,0.1125,9
3,i4,75,EE,6.3875,6.4875,0.1,8
3,r,175,R,6.4875,6.5625,0.075,6
3,en2,52,N,6.5625,6.75,0.1875,15
3,sp,179,REST,6.75,6.825,0.075,6
